Super_Region,Date,Effort,retained_gag,released_gag,retained_RS,released_RS,retained_RG,released_RG,N,N_Gag,N_RG,N_RS,FIR,Bag_gag,Bag_RS,Bag_RG,sin1,cos1,sin2,cos2,Fishable,Pop,Fuel,M_Gag,M_RS,M_RG,S_Gag,S_RS,S_RG,A_Gag,A_RS,A_RG,A_GS,A_Gag_e,A_RS_e,A_RG_e,A_GS_e,Gag_Catch,RG_Catch,RS_Catch,Year,S_Gag2,S_RS2,S_RG2,S_Gag3,S_RS3,S_RG3,Lag_Gag,Lag_RS,Lag_RG,Gag_searches,RG_searches,RS_searches
Big_Bend,2015-05-01,98362.6485262054,7172.94165277111,80225.9450314952,0,7530.13349222644,5114.20454065953,5555.39612781057,91,26,7,4,18848.7738319073,2,2,4,0.880012203973536,-0.47495107206705,-0.835925479418636,-0.54884295828472,1,1112037,2.58712027523362,0,0.290322580645161,1,156,79,281,0.30621,0.785,0.82707,1.33,0.48768,0.953,0.64254,1.5,87398.8866842663,10669.6006684701,7530.13349222644,1,0,4.36944785246702,5.63835466933375,0,1.26854937652268,5.63835466933375,NA,NA,NA,48,23,48
Big_Bend,2015-06-01,119373.629313283,388.949362963831,95906.0802602165,16995.1381621086,29712.8081895817,4962.89960517215,45287.3961728985,173,24,34,31,18316.5575140638,2,2,4,0.516062391015853,-0.856550995901004,-0.884067509943364,0.467359217158002,1,1112037,2.6622931141061,0,1,1,156,79,281,0.30621,0.785,0.82707,1.33,0.48768,0.953,0.64254,1.5,96295.0296231804,50250.2957780707,46707.9463516903,1,0,4.36944785246702,5.63835466933375,0,4.36944785246702,5.63835466933375,87398.8866842663,7530.13349222644,10669.6006684701,48,23,60
Big_Bend,2015-07-01,160309.765628915,47818.7904606591,31913.3220038986,0,0,5228.71779607959,34055.475259132,117,28,17,0,18914.1876153322,2,2,4,0.0258184402271331,-0.999666648510511,-0.0516196672232542,0.998666816288476,1,1112037,2.57817284757666,1,0.387096774193548,1,156,79,281,0.30621,0.785,0.82707,1.33,0.48768,0.953,0.64254,1.5,79732.1124645577,39284.1930552116,0,1,5.04985600724954,4.36944785246702,5.63835466933375,5.04985600724954,1.69139916869691,5.63835466933375,96295.0296231804,46707.9463516903,50250.2957780707,54,30,37
Big_Bend,2015-08-01,40456.4745284077,16521.3845184514,32538.4411822158,0,53732.0188891208,8576.74815140338,6889.96624042415,85,26,14,6,20815.5184380452,2,2,4,-0.48627270710869,-0.873807103611081,0.849817091527527,0.527077708642373,1,1112037,2.34267741584051,1,0,1,156,79,281,0.30621,0.785,0.82707,1.33,0.48768,0.953,0.64254,1.5,49059.8257006673,15466.7143918275,53732.0188891208,1,5.04985600724954,0,5.63835466933375,5.04985600724954,0,5.63835466933375,79732.1124645577,0,39284.1930552116,46,26,30
Big_Bend,2015-09-01,54431.3935527303,11938.8042927366,53212.4872777584,0,0,3934.76247015751,30809.9009163879,191,98,48,0,22983.5656729006,2,2,4,-0.863142128049911,-0.504961054721521,0.871706318709322,-0.490028666429058,1,1112037,2.12169189227748,1,0.433333333333333,1,156,79,281,0.30621,0.785,0.82707,1.33,0.48768,0.953,0.64254,1.5,65151.291570495,34744.6633865454,0,1,5.04985600724954,4.36944785246702,5.63835466933375,5.04985600724954,1.89342740273571,5.63835466933375,49059.8257006673,53732.0188891208,15466.7143918275,47,15,27
Big_Bend,2015-10-01,109722.924172388,63074.1906051315,108906.386093922,0,1880.19890595872,4345.32481660198,1560.66206727617,109,53,3,2,22990.5670158899,2,2,4,-0.999916658654738,-0.0129102960750097,0.0258184402271342,-0.999666648510511,1,1112037,2.12104577108155,1,0.451612903225806,0.258064516129032,156,79,281,0.30621,0.785,0.82707,1.33,0.48768,0.953,0.64254,1.5,171980.576699054,5905.98688387815,1880.19890595872,1,5.04985600724954,4.36944785246702,5.63835466933375,5.04985600724954,1.97329903014639,1.45505926950548,65151.291570495,0,34744.6633865454,43,24,23
Big_Bend,2015-11-01,157565.051396433,113121.813360699,111398.297262354,0,20422.6954475027,0,28102.2841193236,159,56,8,4,23505.1409132397,2,2,4,-0.867456354729597,0.49751328890718,-0.863142128049911,-0.504961054721521,1,1112037,2.07461189549189,1,0.0333333333333333,0,156,79,281,0.30621,0.785,0.82707,1.33,0.48768,0.953,0.64254,1.5,224520.110623053,28102.2841193236,20422.6954475027,1,5.04985600724954,4.36944785246702,0,5.04985600724954,0.145648261748901,0,171980.576699054,1880.19890595872,5905.98688387815,54,17,20
Big_Bend,2015-12-01,33292.6525951638,0,86291.2405630898,0,0,0,1419.67730416412,51,32,4,0,24551.55430814,2,2,4,-0.508670943852105,0.860961015888994,-0.875891705144243,0.482507741761217,1,1112037,1.98618972680082,0.0967741935483871,0,0,156,79,281,0.30621,0.785,0.82707,1.33,0.48768,0.953,0.64254,1.5,86291.2405630898,1419.67730416412,0,1,5.04985600724954,0,0,0.488695742637052,0,0,224520.110623053,20422.6954475027,28102.2841193236,69,21,27
Big_Bend,2016-01-01,5540.08027304135,0,4899.85767345315,0,0,0,200.86012155012,20,6,3,0,26708.563138449,2,2,2,0,1,0,1,0.991935483870968,1173075,1.89212271007293,0,0,1,183,71,365,0.58139,1.372,0.39169,1.22,0.30621,0.785,0.82707,1.33,4899.85767345315,200.86012155012,0,2,0,0,5.89989735358249,0,0,5.89989735358249,86291.2405630898,0,1419.67730416412,39,17,24
Big_Bend,2016-02-01,29798.1341595411,0,9190.91368299742,0,148043.915577295,236.807101696921,0,32,11,1,9,29187.4671556705,2,2,2,0.508670943852104,0.860961015888994,0.875891705144243,0.482507741761218,0.974137931034483,1173075,1.73142392240288,0,0,1,183,71,365,0.58139,1.372,0.39169,1.22,0.30621,0.785,0.82707,1.33,9190.91368299742,236.807101696921,148043.915577295,2,0,0,5.89989735358249,0,0,5.89989735358249,4899.85767345315,0,200.86012155012,40,13,31
